run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR9769282	SAMEA14431087	ERX9317478	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769282/ERR9769282.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769282/4678_AG_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/002/ERR9769282.bam
ERR9769283	SAMEA14431088	ERX9317479	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769283/ERR9769283.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769283/4678_I_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/003/ERR9769283.bam
ERR9769284	SAMEA14431089	ERX9317480	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769284/ERR9769284.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769284/4678_AH_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/004/ERR9769284.bam
ERR9769285	SAMEA14431090	ERX9317481	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769285/ERR9769285.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769285/4678_K_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/005/ERR9769285.bam
ERR9769286	SAMEA14431091	ERX9317482	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769286/ERR9769286.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769286/4678_L_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/006/ERR9769286.bam
ERR9769290	SAMEA14431095	ERX9317486	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769290/ERR9769290.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769290/4678_P_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/000/ERR9769290.bam
ERR9769295	SAMEA14431100	ERX9317491	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769295/ERR9769295.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769295/4678_U_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/005/ERR9769295.bam
ERR9769298	SAMEA14431103	ERX9317494	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769298/ERR9769298.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769298/4678_X_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/008/ERR9769298.bam
ERR9769304	SAMEA14431109	ERX9317500	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769304/ERR9769304.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769304/4678_AK_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/004/ERR9769304.bam
ERR9769376	SAMEA14431111	ERX9317572	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769376/ERR9769376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769376/ERR9769376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769376/4712_B_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769376/4712_B_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/006/ERR9769376.bam
