run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR16955662	SAMN23169432	SRX13147282	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/062/SRR16955662/SRR16955662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/062/SRR16955662/SRR16955662_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/062/SRR16955662	
SRR16955674	SAMN23169421	SRX13147270	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/074/SRR16955674/SRR16955674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/074/SRR16955674/SRR16955674_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/074/SRR16955674	
SRR16955679	SAMN23169416	SRX13147265	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/079/SRR16955679/SRR16955679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/079/SRR16955679/SRR16955679_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/079/SRR16955679	
SRR16955664	SAMN23169430	SRX13147280	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/064/SRR16955664/SRR16955664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/064/SRR16955664/SRR16955664_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/064/SRR16955664	
SRR16955680	SAMN23169389	SRX13147264	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/080/SRR16955680/SRR16955680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/080/SRR16955680/SRR16955680_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/080/SRR16955680	
SRR16955665	SAMN23169429	SRX13147279	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/065/SRR16955665/SRR16955665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/065/SRR16955665/SRR16955665_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/065/SRR16955665	
SRR16955681	SAMN23169415	SRX13147263	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/081/SRR16955681/SRR16955681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/081/SRR16955681/SRR16955681_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/081/SRR16955681	
SRR16955670	SAMN23169425	SRX13147274	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/070/SRR16955670/SRR16955670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/070/SRR16955670/SRR16955670_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/070/SRR16955670	
SRR16955671	SAMN23169424	SRX13147273	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/071/SRR16955671/SRR16955671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/071/SRR16955671/SRR16955671_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/071/SRR16955671	
SRR16955684	SAMN23169412	SRX13147260	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/084/SRR16955684/SRR16955684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/084/SRR16955684/SRR16955684_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/084/SRR16955684	
