run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR11674021	SAMN14825703	SRX8234921	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/021/SRR11674021/SRR11674021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/021/SRR11674021/SRR11674021_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/021/SRR11674021	
SRR11674022	SAMN14825702	SRX8234920	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/022/SRR11674022/SRR11674022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/022/SRR11674022/SRR11674022_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/022/SRR11674022	
SRR11674023	SAMN14825701	SRX8234919	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/023/SRR11674023/SRR11674023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/023/SRR11674023/SRR11674023_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/023/SRR11674023	
SRR11674024	SAMN14825700	SRX8234918	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/024/SRR11674024/SRR11674024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/024/SRR11674024/SRR11674024_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/024/SRR11674024	
SRR11674031	SAMN14825696	SRX8234911	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/031/SRR11674031/SRR11674031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/031/SRR11674031/SRR11674031_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/031/SRR11674031	
SRR11674033	SAMN14825694	SRX8234909	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/033/SRR11674033/SRR11674033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/033/SRR11674033/SRR11674033_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/033/SRR11674033	
SRR11674034	SAMN14825667	SRX8234908	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/034/SRR11674034/SRR11674034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/034/SRR11674034/SRR11674034_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/034/SRR11674034	
SRR11674038	SAMN14825690	SRX8234904	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/038/SRR11674038/SRR11674038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/038/SRR11674038/SRR11674038_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/038/SRR11674038	
SRR11674039	SAMN14825689	SRX8234903	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/039/SRR11674039/SRR11674039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/039/SRR11674039/SRR11674039_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/039/SRR11674039	
SRR11674045	SAMN14825666	SRX8234897	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/045/SRR11674045/SRR11674045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/045/SRR11674045/SRR11674045_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/045/SRR11674045	
SRR11674048	SAMN14825681	SRX8234894	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/048/SRR11674048/SRR11674048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/048/SRR11674048/SRR11674048_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/048/SRR11674048	
SRR11674051	SAMN14825678	SRX8234891	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/051/SRR11674051/SRR11674051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/051/SRR11674051/SRR11674051_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/051/SRR11674051	
SRR11674054	SAMN14825675	SRX8234888	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/054/SRR11674054/SRR11674054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/054/SRR11674054/SRR11674054_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/054/SRR11674054	
SRR11673963	SAMN14825732	SRX8234979	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/063/SRR11673963/SRR11673963_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/063/SRR11673963	
SRR11673964	SAMN14825729	SRX8234978	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/064/SRR11673964/SRR11673964_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/064/SRR11673964	
SRR11673971	SAMN14825711	SRX8234971	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/071/SRR11673971/SRR11673971_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/071/SRR11673971	
SRR11673973	SAMN14825705	SRX8234969	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/073/SRR11673973/SRR11673973_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/073/SRR11673973	
SRR11673975	SAMN14825699	SRX8234967	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/075/SRR11673975/SRR11673975_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/075/SRR11673975	
SRR11673978	SAMN14825693	SRX8234964	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/078/SRR11673978/SRR11673978_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/078/SRR11673978	
SRR11673979	SAMN14825690	SRX8234963	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/079/SRR11673979/SRR11673979_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/079/SRR11673979	
SRR11673980	SAMN14825687	SRX8234962	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/080/SRR11673980/SRR11673980_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/080/SRR11673980	
SRR11673981	SAMN14825684	SRX8234961	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/081/SRR11673981/SRR11673981_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/081/SRR11673981	
SRR11673986	SAMN14825669	SRX8234956	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/086/SRR11673986/SRR11673986_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/086/SRR11673986	
SRR11673991	SAMN14825730	SRX8234951	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/091/SRR11673991/SRR11673991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/091/SRR11673991/SRR11673991_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/091/SRR11673991	
SRR11673994	SAMN14825727	SRX8234948	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/094/SRR11673994/SRR11673994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/094/SRR11673994/SRR11673994_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/094/SRR11673994	
SRR11674002	SAMN14825720	SRX8234940	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/002/SRR11674002/SRR11674002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/002/SRR11674002/SRR11674002_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/002/SRR11674002	
SRR11674008	SAMN14825714	SRX8234934	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/008/SRR11674008/SRR11674008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/008/SRR11674008/SRR11674008_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/008/SRR11674008	
SRR11674009	SAMN14825669	SRX8234933	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR11674009/SRR11674009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR11674009/SRR11674009_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/009/SRR11674009	
