run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR18491337	SAMN26980386	SRX14622791	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/037/SRR18491337/SRR18491337_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/037/SRR18491337	
SRR18491152	SAMN26980319	SRX14622576	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/052/SRR18491152/SRR18491152_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/052/SRR18491152	
SRR18491158	SAMN26980314	SRX14622570	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/058/SRR18491158/SRR18491158_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/058/SRR18491158	
SRR18491160	SAMN26980312	SRX14622568	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/060/SRR18491160/SRR18491160_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/060/SRR18491160	
SRR18491161	SAMN26980311	SRX14622567	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/061/SRR18491161/SRR18491161_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/061/SRR18491161	
SRR18491164	SAMN26980308	SRX14622564	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/064/SRR18491164/SRR18491164_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/064/SRR18491164	
SRR18491165	SAMN26980307	SRX14622563	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/065/SRR18491165/SRR18491165_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/065/SRR18491165	
SRR18491170	SAMN26980303	SRX14622558	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/070/SRR18491170/SRR18491170_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/070/SRR18491170	
SRR18491177	SAMN26980055	SRX14622551	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/077/SRR18491177/SRR18491177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/077/SRR18491177/SRR18491177_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/077/SRR18491177	
SRR18491183	SAMN26980268	SRX14622544	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/083/SRR18491183/SRR18491183_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/083/SRR18491183	
SRR18491185	SAMN26980266	SRX14622542	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/085/SRR18491185/SRR18491185_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/085/SRR18491185	
SRR18491186	SAMN26980265	SRX14622541	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/086/SRR18491186/SRR18491186_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/086/SRR18491186	
SRR18491189	SAMN26980263	SRX14622538	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/089/SRR18491189/SRR18491189_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/089/SRR18491189	
SRR18491192	SAMN26980260	SRX14622535	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/092/SRR18491192/SRR18491192_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/092/SRR18491192	
SRR18491193	SAMN26980259	SRX14622534	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/093/SRR18491193/SRR18491193_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/093/SRR18491193	
SRR18491194	SAMN26980258	SRX14622533	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/094/SRR18491194/SRR18491194_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/094/SRR18491194	
